wallet,roi,tradingFrequency,activityLevel,volatility,sharpeRatio
4WAfwi1V6jUmFasSgMK3roUo6y9mHXxcUV75tVU9NtnQ,-82.83%,14.43 trades/day,[object Object],175.3275,0.1923
6obeVmM9SZUagyHTE7Soi7FhdZtd73m4MwHpkcL9Mu9Y,-7.56%,34.25 trades/day,[object Object],1501.6257,0.2606
5T9SUN1XuaoBvBZCzn5SyDzUv1uJGn1vgo1QGUoq8HyS,0.00%,7.47 trades/day,[object Object],43.7325,0.3571
9iXbBirB8F8z1L2QRgRMm8SNWvcM5gDiebmT3TiYhyNT,-73.27%,18.62 trades/day,[object Object],10853.8175,0.3794
HvttS1XkHQvxJTj78dq3AyMiRxqPg6HarpgraMM2kjhP,-21.48%,7.16 trades/day,[object Object],3363.9071,0.1680
4GFQMrxQfWsaLiNnSskVVUXqLrHtTT1Fr1qmPW8mB5fL,1299.95%,6.67 trades/day,[object Object],158.4773,0.3290
2geJdkyRANJn1msChUsWSPduqgdR8T348EX88a3m49Aj,12.68%,26.57 trades/day,[object Object],119.1669,0.2230
GMG7x922cTmn8TNHAGJzXVeSineQCKXZ8ztQP5fdPBiV,0.75%,3162.94 trades/day,[object Object],88.4191,0.2505
GMqwf2ct8runQarHgHxkbXgcMBJzwjVoL525ZLCAFLB2,-53.20%,434.95 trades/day,[object Object],267.5644,0.1832
8nwPeguVWHiZYLsg1pgUWHfAavqxfBBi7nU9RyQZcgoV,-0.02%,80.49 trades/day,[object Object],661.5797,0.3272
W2GuaA1eQ1LQN1Y3RKz6ioZiQCS8oGfWEPgkz97v7kF,-4.39%,33.67 trades/day,[object Object],56.5172,0.3661
nQ1qHfmxjk1e9JQtn2tQFnfH295Go6e98LCCQFZ1sHd,5400.01%,15.78 trades/day,[object Object],37.0184,0.2501
HyNiuntjo51d5paTG7rX5XLLAAi68GQMN1STwSmvna4F,-34.54%,84.04 trades/day,[object Object],46.9912,0.3434
2WfNxFN74pzJWKnXQ7NpkbnbEEhSLVJZGiB9NvxQ4Vpb,1.27%,251.20 trades/day,[object Object],58162.5094,0.1451
HQyjjjs6tr1YsUcXd2yLaCdwyU3en8GcMa1w6FpzwXMu,-12.13%,23.11 trades/day,[object Object],780.5066,0.2303
GGeEroxtu3xWZGsbqqpNBtVRhkMDQh9WwYAGWbgAeQt7,1975.43%,11.21 trades/day,[object Object],242.1190,0.1997
ArXAjxBcy18m4cZrXQaJ9E9cFdWfvGQxarHjug51V1uW,-0.02%,9.22 trades/day,[object Object],41.3853,0.3368
3dwQJy6nXB6SpzDBaz6hw7qcVCzepX6KNg5sPNw3hxHm,639.58%,102.20 trades/day,[object Object],3.4905,0.1460
6Lzg4arDYUjvogN3CLYfyqAgGvwU5GzmNqMR8rshfGKu,-17.05%,13.15 trades/day,[object Object],5763.9469,0.1972
pDR9u4jC1xPquZLaZBypdCVHd171aXM7jNKUceSdDMx,24.12%,7.01 trades/day,[object Object],164.5152,0.3521
8dnKtiuCMYamacBy6ijSrBrxV1KtWT56Pnq7NntyFy95,-22.86%,34.52 trades/day,[object Object],140.4977,0.1541
Diu85jhDQSwGdtWGbqBhH2qNKejmHGPKpuYRYmjiatMh,12942.86%,7.16 trades/day,[object Object],149.9477,0.3065
cGxeYN6F7T9aELwjLPeL3hnJNscGU7EHg5CEsP4B3Hz,-73.25%,25.19 trades/day,[object Object],1714.3614,0.3424
AUoMLSSV5JtFMJ5iX1QEKLbyvjpYS4vq9ypDtQ8CbKX3,-54.82%,7.56 trades/day,[object Object],287.5803,0.2212
HpJ6bsNhW4ftV1E1KtSwvr9yQ55ZbHaxMVvgney6gpoY,2.56%,69.20 trades/day,[object Object],77.7025,0.3268
3FWvficHgSEu1Dvt7SG3fJK3cqMgGNqtcVZnvpgKEMka,-27.61%,2.29 trades/day,[object Object],196.1845,0.2081
9B3Xzz743fFVXPYPvumESDoG9yMLGMHuRSHFEz6qDrQc,806.52%,3.14 trades/day,[object Object],14.4742,0.3565
2huXTbjeBhtMZ1ugNwUGucYBRasRaaiypymUX6P1Kwjx,-0.10%,85.18 trades/day,[object Object],2559.1773,0.3297
CdFjn99C4VUjpqayV4fnf2w5JUiF254LJTamkhdwEqqT,-10.91%,69.91 trades/day,[object Object],131.1788,0.2660
CUwXgomg3r8QFX7EA1McfDbdT6Utv9tTvCGinaZ33QfN,-53.95%,8.36 trades/day,[object Object],247.5944,0.3823
GCrxYNvZXhY26QtxCryGoH8nfJaiE7qGGpvh61FAui8J,-4.25%,110.37 trades/day,[object Object],1128.7251,0.2025
EwBGhoTKQnmSL64t1LftMAqbcgYtukXC3yU3CpqVVUjW,10.16%,11.32 trades/day,[object Object],125.0690,0.3740
BTCFpZvtExAMndZvxLxLaKfxT8GVGQyANq4pU4qL4CZr,-0.00%,44.22 trades/day,[object Object],9219.4093,0.2093
omo3erpdCoYVEk3ssQcNQKtu5HekM4TNyRyrA2MHtGP,0.12%,14.24 trades/day,[object Object],883.8229,0.1634
J9NtXeG5Aa658entKEM6rr49yVqJfLkZo5TuctYHAzeu,-66.64%,7.39 trades/day,[object Object],2685.7805,0.1918
C5tTsPKB9o9Jgqi1SfuwbHY9UHchx5w7VcmCMp5Tmsxu,-0.00%,16.56 trades/day,[object Object],64.3469,0.4058
Eo8ttYZZeBqHP7fmBdMgbquPJ4SP4WSY2755QT9Z7pqX,222.69%,3549.50 trades/day,[object Object],39.2775,0.2838
HshjAKBheiY18Aa2nfXKLrKHscErKHnstj9rVmdjgBG8,0.00%,145.08 trades/day,[object Object],2147.3886,0.2929
Hvm1grr3grLQVYRsSUHk2JgKu1qoAWxP6EL6eQmHTjHS,586.65%,5.16 trades/day,[object Object],205.4643,0.2887
5zAekFLwYsbidYyBKs5neEqFVmYDZsT2b2YEHRTdkqii,815.63%,4.26 trades/day,[object Object],123.2483,0.2236
EQNVrtBwMG9ueTNryo5n5vdgd9psCsGJFwjXb6hTqxwQ,0.08%,41.34 trades/day,[object Object],11.1591,0.1431
7W7rw4hAEe9KNF8k7RYb9fQiCFb22GQGaZ6VL3DUawkQ,1.84%,161.06 trades/day,[object Object],1183.9080,0.3225
4v5pJbcJrjVhBM3QQpB3vpp3FEXccbTeHYGgnTsSke9x,10.98%,6.68 trades/day,[object Object],12714.6691,0.2014
323PvDyLPwKQY3CeH3E1nVFcJd8gYB7CHDnB4YN2tfUb,2.91%,11.94 trades/day,[object Object],129.3426,0.3542
HwDXD2WjeWr6pzwvGzbhUz5vnhUyGJMnWhFTfG4yUJDs,-0.82%,6.15 trades/day,[object Object],149.2263,0.2908
5AS99FN4MrtN1co7S1ewmxg4PAku6p2vuehD54AH48Sm,0.00%,475.27 trades/day,[object Object],0.0000,0.0000
EdHUoq44y4qkw8N1PDD1uJuYoHZ3Lqjshc83JZyD1VNX,-36.05%,16.86 trades/day,[object Object],386.4324,0.1128
CQvwRHaxNUScPrE3VTJsbw8LNRudaKS52LZb4r4zcuuB,-2.24%,7.21 trades/day,[object Object],13678.2958,0.1631
D816NASGzjogCFRSDm7kNeZ5nSWK3Tm1RBryaZh4QhFo,-93.79%,1.54 trades/day,[object Object],3185.9605,0.1965
9K1A2gRBru5cqQEoiH8wSFi6FGZ8biALc3sQPwwo446d,-5.38%,8.91 trades/day,[object Object],136.4094,0.2478
8peKuBtmAThSKJW9WHTtWWLTGVKg43Pjjz1Ha8T9yui4,20.41%,8.10 trades/day,[object Object],53.8105,0.3154
FVxeFYgyT4GC6D7gaLkMSu2qtSJfw2N4RVPZowi2A64Y,-15.77%,98.00 trades/day,[object Object],1746.5089,0.3531
4jgTN9YNrq4wCqRJ7tRne4u3S7prjGmvuASy2C36fN6y,0.22%,45.26 trades/day,[object Object],8209.1651,0.2000
EDkv25Du3kZxStNyPNdDsG7mVs5Qt6VPoXc9LTzGwjwN,2092.94%,7.46 trades/day,[object Object],49.6571,0.3878
nzLXdpypckyyBzVNs5g4yW5pSyYDhnAjKGswXkErVWs,-6.29%,92.26 trades/day,[object Object],674.9728,0.2222
8pzBGC9KkyssMFuckrcZTN52rhMng5ikpqkmQNoKn45V,0.00%,617.14 trades/day,[object Object],5.8909,0.5565
Do3QPzdcTAapCzP365WC5WcG3SqKxsM8Vr1956goXMbc,-66.21%,10.92 trades/day,[object Object],153.9255,0.2028
7QFKuC87fjy8tSYF2gvtBkMPkPDk53EqQNhMHs2qXeQ2,119.55%,10.02 trades/day,[object Object],95.4277,0.2138
3fDfvv9ZmK9kuZ9tg5214eMgqMEzjK55W12giK1tEun7,-10.64%,13.39 trades/day,[object Object],149.1574,0.2355
CJTJL9KvFhWS7GJvDgiUfd8xbwDTVTrzCnaHNt5N2SWc,-1.68%,9.32 trades/day,[object Object],47.8089,0.3808
G1pRtSyKuWSjTqRDcazzKBDzqEF96i1xSURpiXj3yFcc,105.88%,31.65 trades/day,[object Object],23.4779,0.2157
5jg8hGyYaDjzGoz4eSZMFTfXmxMiQyJsaB84ZD2TT3i4,-20.05%,86.56 trades/day,[object Object],1099.7459,0.6561
ByRNH4L8ANFjQA1haft5rViaFiSQy1aQS31yS3RTEC9b,-29.67%,47.44 trades/day,[object Object],879.9867,0.3882
48GwtttAxAX3GWKJJxCiArNS1iJGFEbF1sahaa49v7xD,-95.43%,256.88 trades/day,[object Object],273.7441,0.1642
j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,0.02%,5903.11 trades/day,[object Object],0.8479,0.3241
MgdgECXoT498458YjwhyxJB83y4Uu78yCTjsygouxBa,-0.00%,6093.31 trades/day,[object Object],14.5309,0.3319
j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,0.03%,8640.00 trades/day,[object Object],0.9184,0.2553
EZcv4WSEmX7WopTJc2bfrdaYovpKcxk81s9zXiQ3Zm9i,39.89%,13.35 trades/day,[object Object],78.7244,0.3223
Dd998usAfDt7W95zASGWtW6fzerbioPEPBVjUzPz4aAr,396.62%,10.40 trades/day,[object Object],225.0152,0.2975
Agph8gaUFbZJzt3tMdHxmpxUaQwDVWQf6MpzcfhCh6rU,0.01%,634.24 trades/day,[object Object],293.4243,0.2729
FLoM8b1SQjKresVeCge93TGT85nmQDmfwY5J32dkmzMK,-99.97%,7.84 trades/day,[object Object],83.0940,0.2945
6S16mZZ1Vi9nNxMtpzRmeHFaV1g14oFXpAZ7ammM7Q5b,1653.79%,35.27 trades/day,[object Object],69.3440,0.4694
39neSjJwPF9BAfoCNnS3pyhgFLeuyuvkX8gebmYC9MiL,704.76%,12.43 trades/day,[object Object],132.8538,0.3637
C9beggursF9WdLyzunVSoz2Bw6kAxoQpUifPHbo4ybvw,0.87%,25.35 trades/day,[object Object],143.2871,0.2996
8JS4VmmQQfhLUP8NthkjWXLzxizMQQy1gV4VKuXvyAF6,11.17%,9.82 trades/day,[object Object],123.8296,0.3211
EvHnoAHYaNmdRsh47V16vGCacJGK2rUARGAbsy23ZLFC,0.02%,30.29 trades/day,[object Object],25.3847,0.3271
7bfRTXj8LKuzxYkUeBWPpUKbA2aZuVPC1b1tz7cH2wfh,-3.47%,22.93 trades/day,[object Object],646.8894,0.4169
FkCmwCbhux1H6f56HRMi1Mumwxd9bevbJ14a2KVVTqt3,0.00%,9.81 trades/day,[object Object],342.2092,0.2498
D4YgXxadgihmTwzQoMYvnGBHsZWddXNJcyHdsBySvzkW,-37.63%,9.74 trades/day,[object Object],61.5530,0.3055
ARBx28AMzR8NGK9M4yLwEyjne51vwsUfCrAgkXhzabPC,0.00%,129.73 trades/day,[object Object],5.8073,0.4144
FXKQSCerTzM8JNTaX9o6AZaF7YcVSe7XtZ8r5jMEgaRA,-74.92%,214.69 trades/day,[object Object],74.4177,0.2542
YcjUULpoURFD8TVwDZC8Wsk4RbAY5L62TH3rJoaFFTk,0.00%,4246.50 trades/day,[object Object],3.8030,0.4197
3nkuAxwH8zQPRcdFxBGzu8dw3BMm641s8aHzBqwWUuRJ,-11.23%,7.64 trades/day,[object Object],157.4986,0.2800
BUSCjZJKAK9QgCDE9SvM24c6NSXRf6oMQ8Lq5tsMakQU,5.00%,13.42 trades/day,[object Object],74.2218,0.3737
BmnJnRYpDa4xZ7MBLWgTUzCdXaHCckJmBUhpFBC4svkJ,1.02%,7.63 trades/day,[object Object],1379.2531,0.1740
4wmQQCrhK8fhJQjHAYfcJNi17WSMskGsYcTSs8UsYxzG,-60.62%,11.98 trades/day,[object Object],31.2023,0.3980
AKvTfVwV3eQBmy5d6dVPfTWa3k67S3Tea2tYkRb1SEK9,-9.93%,22.81 trades/day,[object Object],35.3771,0.3550
BACzmQWg6usC81NTRjDnCHjNDzpgyZtn164SFoBTjbMG,-1.32%,55.25 trades/day,[object Object],213.1331,0.2514
CEEXTqHaqbVriXoW4uvdaPShkMaHg9AWnFXLS1nS887C,0.00%,20210.53 trades/day,[object Object],0.0000,0.0000
5ELozdFdHHwrCvtghtXKnsZBJEojjZpdmZUdbizq7hTf,-14.21%,8.42 trades/day,[object Object],77.4669,0.3209
